발표시각,지역,해당지역,특보종류,특보수준,특보명령,발효시각
2020-11-19 05:00:00,부산·울산·경상남도,"울산, 부산, 경상남도(거제)",강풍,주의보,발표,2020-11-19 07:00:00
2020-11-19 05:00:00,부산·울산·경상남도,"남해동부앞바다(거제시동부앞바다, 부산앞바다), 동해남부앞바다(울산앞바다)",풍랑,주의보,발표,2020-11-19 07:00:00
2020-11-19 05:00:00,부산·울산·경상남도,"남해동부앞바다(거제시동부앞바다, 부산앞바다), 동해남부앞바다(울산앞바다)",풍랑,주의보,발표,2020-11-19 07:00:00
2020-11-19 18:00:00,부산·울산·경상남도,"울산, 부산, 경상남도(거제, 통영)",강풍,주의보,해제,2020-11-19 20:00:00
2020-11-20 02:00:00,부산·울산·경상남도,"남해동부앞바다(거제시동부앞바다, 부산앞바다), 동해남부앞바다(울산앞바다)",풍랑,주의보,해제,2020-11-20 03:00:00
2020-11-21 04:00:00,부산·울산·경상남도,"남해동부먼바다, 남해동부앞바다(부산앞바다)",풍랑,주의보,발표,2020-11-21 05:00:00
2020-11-21 04:00:00,부산·울산·경상남도,"남해동부먼바다, 남해동부앞바다(부산앞바다)",풍랑,주의보,발표,2020-11-21 07:00:00
2020-11-21 16:00:00,부산·울산·경상남도,남해동부앞바다(부산앞바다),풍랑,주의보,해제,2020-11-21 18:00:00
2020-11-27 10:00:00,부산·울산·경상남도,"울산, 부산, 경상남도(창원)",건조,주의보,발표,2020-11-27 10:00:00
2020-12-17 11:00:00,부산·울산·경상남도,부산,건조,경보,변경,2020-12-17 11:00:00
2020-12-21 16:00:00,부산·울산·경상남도,"울산, 부산",건조,주의보,변경,2020-12-21 16:00:00
2020-12-24 16:00:00,부산·울산·경상남도,부산,건조,주의보,해제,2020-12-24 16:00:00
2020-12-29 23:00:00,부산·울산·경상남도,"울산, 부산, 경상남도(남해, 고성, 거제, 사천, 통영, 산청, 하동, 창원)",강풍,주의보,발표,2020-12-30 03:00:00
2020-12-31 09:00:00,부산·울산·경상남도,"울산, 부산, 경상남도(남해, 고성, 거제, 사천, 통영, 산청, 하동, 창원)",강풍,주의보,해제,2020-12-31 09:00:00
2020-12-31 09:00:00,부산·울산·경상남도,"울산앞바다( 평수구역 , 연안바다 ), 부산앞바다( 동부평수구역 , 서부평수구역 , 연안바다 ), 경남서부남해앞바다( 동부평수구역 , 남부평수구역 ), 경남중부남해앞바다( 연안바다 ), 거제시동부앞바다( 연안바다 )",풍랑,주의보,해제,2020-12-31 09:00:00
2021-01-02 11:00:00,부산·울산·경상남도,"울산, 부산",건조,주의보,발표,2021-01-02 11:00:00
2021-01-07 03:00:00,부산·울산·경상남도,"울산, 부산, 경상남도(남해, 고성, 거제, 사천, 통영, 산청, 하동, 창원)",강풍,주의보,발표,2021-01-07 05:00:00
2021-01-07 11:00:00,부산·울산·경상남도,"울산, 부산, 경상남도(진주, 양산, 고성, 사천, 하동, 밀양, 김해, 창원)",한파,주의보,발표,2021-01-07 21:00:00
2021-01-07 18:00:00,부산·울산·경상남도,"울산, 부산, 경상남도(남해, 고성, 거제, 사천, 통영, 산청, 하동, 창원)",강풍,주의보,해제,2021-01-07 18:00:00
2021-01-09 11:00:00,부산·울산·경상남도,"울산, 부산, 경상남도(양산, 김해, 창원)",한파,주의보,해제,2021-01-09 11:00:00
2021-01-13 10:00:00,부산·울산·경상남도,부산,건조,주의보,해제,2021-01-13 10:00:00
2021-01-17 11:00:00,부산·울산·경상남도,"부산, 경상남도(김해, 창원)",건조,주의보,발표,2021-01-17 11:00:00
2021-01-18 11:00:00,부산·울산·경상남도,"울산, 부산, 경상남도(거제, 통영, 산청)",강풍,주의보,발표,2021-01-18 12:00:00
2021-01-18 22:00:00,부산·울산·경상남도,"울산, 부산, 경상남도(거제, 통영, 산청)",강풍,주의보,해제,2021-01-18 22:00:00
2021-01-21 16:00:00,부산·울산·경상남도,"울산, 부산",건조,주의보,해제,2021-01-21 16:00:00
2021-01-23 09:00:00,부산·울산·경상남도,"남해동부먼바다, 남해동부앞바다(거제시동부앞바다, 부산앞바다), 동해남부앞바다(울산앞바다)",풍랑,주의보,발표,2021-01-23 11:00:00
2021-01-23 21:30:00,부산·울산·경상남도,남해동부앞바다(부산앞바다),풍랑,경보,변경,2021-01-23 21:30:00
2021-01-24 04:00:00,부산·울산·경상남도,남해동부앞바다(부산앞바다),풍랑,주의보,변경,2021-01-24 06:00:00
2021-01-25 03:00:00,부산·울산·경상남도,"남해동부앞바다(거제시동부앞바다, 부산앞바다), 동해남부앞바다(울산앞바다)",풍랑,주의보,해제,2021-01-25 05:00:00
2021-01-25 03:00:00,부산·울산·경상남도,"남해동부앞바다(거제시동부앞바다, 부산앞바다), 동해남부앞바다(울산앞바다)",풍랑,주의보,해제,2021-01-25 06:00:00
2021-01-28 10:00:00,부산·울산·경상남도,"울산, 부산, 경상남도",강풍,주의보,발표,2021-01-28 13:00:00
2021-01-28 10:00:00,부산·울산·경상남도,"울산, 부산",한파,주의보,발표,2021-01-28 21:00:00
2021-01-29 11:00:00,부산·울산·경상남도,"울산, 부산",한파,주의보,해제,2021-01-29 11:00:00
2021-01-29 14:00:00,부산·울산·경상남도,"울산, 부산, 경상남도",강풍,주의보,해제,2021-01-29 14:00:00
2021-02-01 06:30:00,부산·울산·경상남도,"남해동부앞바다(거제시동부앞바다, 부산앞바다), 동해남부앞바다(울산앞바다)",풍랑,주의보,발표,2021-02-01 06:30:00
2021-02-01 12:00:00,부산·울산·경상남도,"남해동부앞바다(거제시동부앞바다, 부산앞바다), 동해남부앞바다(울산앞바다)",풍랑,주의보,해제,2021-02-01 14:00:00
2021-02-04 11:00:00,부산·울산·경상남도,"부산, 경상남도(창원)",건조,주의보,발표,2021-02-04 11:00:00
2021-02-14 09:00:00,부산·울산·경상남도,"울산, 부산, 경상남도(김해, 창원)",건조,주의보,해제,2021-02-14 09:00:00
2021-02-15 10:00:00,부산·울산·경상남도,"울산, 부산, 경상남도(거제, 통영, 산청)",강풍,주의보,발표,2021-02-15 13:00:00
2021-02-15 10:00:00,부산·울산·경상남도,"남해동부먼바다, 남해동부앞바다(거제시동부앞바다, 부산앞바다), 동해남부앞바다(울산앞바다)",풍랑,주의보,발표,2021-02-15 13:00:00
2021-02-15 10:00:00,부산·울산·경상남도,"남해동부먼바다, 남해동부앞바다(거제시동부앞바다, 부산앞바다), 동해남부앞바다(울산앞바다)",풍랑,주의보,발표,2021-02-15 14:00:00
2021-02-15 10:00:00,부산·울산·경상남도,"울산, 부산, 경상남도",한파,주의보,발표,2021-02-15 21:00:00
2021-02-15 23:00:00,부산·울산·경상남도,"울산, 부산, 경상남도(거제, 통영, 산청)",강풍,주의보,해제,2021-02-16 01:00:00
2021-02-16 10:00:00,부산·울산·경상남도,"울산, 부산, 경상남도",한파,주의보,해제,2021-02-16 10:00:00
2021-02-16 16:00:00,부산·울산·경상남도,"울산, 부산, 경상남도(거제, 통영, 산청)",강풍,주의보,발표,2021-02-16 19:00:00
2021-02-17 08:30:00,부산·울산·경상남도,"울산앞바다( 평수구역 , 연안바다 ), 부산앞바다( 동부평수구역 , 서부평수구역 , 연안바다 ), 경남서부남해앞바다( 동부평수구역 , 서부평수구역 , 남부평수구역 , 남해군연안바다 ), 경남중부남해앞바다( 평수구역 , 연안바다 ), 거제시동부앞바다( 연안바다 )",풍랑,주의보,발표,2021-02-17 11:00:00
2021-02-17 23:00:00,부산·울산·경상남도,"울산, 부산, 경상남도(거제, 통영, 산청)",강풍,주의보,해제,2021-02-18 01:00:00
2021-02-18 10:00:00,부산·울산·경상남도,"부산, 경상남도(밀양, 김해, 창원)",건조,주의보,발표,2021-02-18 10:00:00
2021-02-19 21:00:00,부산·울산·경상남도,"울산, 부산, 경상남도(거제)",강풍,주의보,발표,2021-02-20 00:00:00
2021-02-19 21:00:00,부산·울산·경상남도,"남해동부앞바다(거제시동부앞바다, 부산앞바다), 동해남부앞바다(울산앞바다)",풍랑,주의보,발표,2021-02-20 00:00:00
2021-02-19 21:00:00,부산·울산·경상남도,"남해동부앞바다(거제시동부앞바다, 부산앞바다), 동해남부앞바다(울산앞바다)",풍랑,주의보,발표,2021-02-20 00:00:00
2021-02-20 08:30:00,부산·울산·경상남도,"울산, 부산, 경상남도(거제)",강풍,주의보,해제,2021-02-20 08:30:00
2021-02-20 11:00:00,부산·울산·경상남도,"남해동부앞바다(부산앞바다), 동해남부앞바다(울산앞바다)",풍랑,주의보,해제,2021-02-20 11:00:00
2021-02-21 14:30:00,부산·울산·경상남도,남해동부앞바다(부산앞바다),풍랑,주의보,발표,2021-02-21 14:30:00
2021-02-21 16:00:00,부산·울산·경상남도,"부산, 경상남도(밀양, 김해, 창원)",건조,주의보,해제,2021-02-21 20:00:00
2021-02-22 04:00:00,부산·울산·경상남도,"남해동부앞바다(부산앞바다), 동해남부앞바다(울산앞바다)",풍랑,주의보,해제,2021-02-22 04:00:00
2021-02-22 04:00:00,부산·울산·경상남도,"남해동부앞바다(부산앞바다), 동해남부앞바다(울산앞바다)",풍랑,주의보,해제,2021-02-22 05:00:00
2021-02-23 10:00:00,부산·울산·경상남도,"부산, 경상남도(진주, 양산, 창녕, 함안, 의령, 밀양, 김해, 창원)",건조,주의보,발표,2021-02-23 10:00:00
2021-02-25 10:00:00,부산·울산·경상남도,"울산, 부산, 경상남도(진주, 양산, 합천, 거창, 함양, 산청, 창녕, 함안, 의령, 밀양, 김해, 창원)",건조,주의보,해제,2021-02-25 10:00:00
2021-02-26 07:00:00,부산·울산·경상남도,"울산, 부산, 경상남도(남해, 고성, 거제, 사천, 통영, 하동, 창원)",강풍,주의보,발표,2021-02-26 09:00:00
2021-02-27 05:00:00,부산·울산·경상남도,"남해동부앞바다(거제시동부앞바다, 부산앞바다)",풍랑,경보,변경,2021-02-27 05:00:00
2021-02-27 16:00:00,부산·울산·경상남도,"남해동부앞바다(거제시동부앞바다, 부산앞바다)",풍랑,주의보,변경,2021-02-27 16:00:00
2021-02-27 18:00:00,부산·울산·경상남도,"울산, 부산, 경상남도(남해, 거제, 통영)",강풍,주의보,해제,2021-02-27 20:00:00
2021-03-01 17:00:00,부산·울산·경상남도,"울산, 부산",강풍,주의보,발표,2021-03-01 19:00:00
2021-03-01 18:30:00,부산·울산·경상남도,"남해동부앞바다(거제시동부앞바다, 부산앞바다)",풍랑,주의보,발표,2021-03-01 20:00:00
2021-03-01 18:30:00,부산·울산·경상남도,"남해동부앞바다(거제시동부앞바다, 부산앞바다)",풍랑,주의보,발표,2021-03-01 20:00:00
2021-03-01 18:30:00,부산·울산·경상남도,"남해동부앞바다(거제시동부앞바다, 부산앞바다)",풍랑,주의보,발표,2021-03-01 20:00:00
2021-03-02 09:00:00,부산·울산·경상남도,"울산, 부산, 경상남도(거제, 통영)",강풍,주의보,해제,2021-03-02 09:00:00
2021-03-02 09:10:00,부산·울산·경상남도,"부산앞바다( 동부평수구역 , 서부평수구역 , 연안바다 ), 거제시동부앞바다( 연안바다 )",풍랑,주의보,해제,2021-03-02 10:00:00
2021-03-02 23:00:00,부산·울산·경상남도,"남해동부앞바다(거제시동부앞바다, 부산앞바다)",풍랑,주의보,해제,2021-03-03 02:00:00
2021-03-06 09:00:00,부산·울산·경상남도,"부산, 경상남도(거제)",강풍,주의보,발표,2021-03-06 11:00:00
2021-03-06 09:00:00,부산·울산·경상남도,"남해동부앞바다(거제시동부앞바다, 부산앞바다)",풍랑,주의보,발표,2021-03-06 11:00:00
2021-03-06 23:00:00,부산·울산·경상남도,"울산, 부산, 경상남도(거제)",강풍,주의보,해제,2021-03-06 23:00:00
2021-03-07 11:00:00,부산·울산·경상남도,"남해동부앞바다(거제시동부앞바다, 부산앞바다), 동해남부앞바다(울산앞바다)",풍랑,주의보,해제,2021-03-07 13:00:00
2021-03-12 15:00:00,부산·울산·경상남도,"남해동부앞바다(거제시동부앞바다, 부산앞바다), 동해남부앞바다(울산앞바다)",풍랑,주의보,발표,2021-03-12 16:00:00
